"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
73;"J7";"PinSocket_1x16_P2.54mm_Vertical";1;"EXPANSION";;;
74;"X1";"Oscillator_DIP-8";1;"33M";;;
75;"U26";"DIP-20_W7.62mm_LongPads";1;"74F244";;;
76;"U21";"DIP-32_W15.24mm_LongPads";1;"AS6C4008";;;
77;"U18";"DIP-16_W7.62mm_LongPads";1;"74F257";;;
78;"U9";"DIP-16_W7.62mm_LongPads";1;"74F138";;;
79;"SW1";"SWITCH_FSMRA3JH04";1;"RESET";;;
80;"RN10";"R_Array_SIP10";1;"R2R10k";;;
81;"RN9";"R_Array_SIP6";1;"220";;;
82;"RN2";"R_Array_SIP9";1;"150";;;
83;"Q3";"TO-92_HandSolder";1;"BS270";;;
84;"J4";"DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm";1;"DISPLAY";;;
85;"J6";"Jack_3.5mm_CUI_SJ1-3533NG_Horizontal";1;"AUDIO OUT";;;
